Hours,dni,dhi,ghi,wind_speed,temp_air
2180.5,0.0116667,83.0067,79.6233,1.62333,13.6117
2181.5,0.075,49.445,47.3483,2.01333,12.92
2182.5,0.015,10.7133,8.06667,1.59333,11.2867
2183.5,0.868333,1.55833,0.221667,0.993333,10.4583
2184.5,0.216667,0.111667,0,0.86,10.1367
2185.5,0,0.193333,0,1.99667,9.90667
2186.5,0.168333,0.158333,0,1.31,9.56333
2187.5,0.545,0.158333,0,2.29333,9.545
2188.5,0.0416667,0.188333,0,5.20167,8.52333
2189.5,0.055,0.236667,0,4.15833,7.23333
2190.5,0.00333333,0.283333,0,4.23333,6.38
2191.5,0.695,0.285,0,4.18,5.955
2192.5,0.473333,0.261667,0,3.51167,5.695
2193.5,0.798333,0.263333,0,3.68,5.50333
2194.5,0.171667,1.36667,0.185,4.82167,4.86667
2195.5,173.263,29.49,48.265,4.38333,4.16833
2196.5,751.672,76.9233,279.843,4.95,4.43333
2197.5,912.793,64.535,483.855,5.96667,4.89333
2198.5,971.54,72.495,672.037,5.67167,5.75167
2199.5,1002.93,78.4217,816.572,4.87,7.10167
2200.5,1014.06,82.4767,898.952,3.915,8.64167
2201.5,1014.76,85.6467,916.3,3.71333,10.0367
2202.5,1007.76,81.3417,852.737,4.61833,11.5883
2203.5,983.43,77.8917,757.032,5.14167,12.8333
2204.5,935.782,73.75,592.838,5.28167,13.7117
2205.5,840.213,66.6533,385.825,5.63667,14.08
2206.5,635.052,50.175,165.312,4.45167,14.0817
2207.5,157.768,14.4383,16.7383,3.72167,12.8733
2208.5,0,0.0116667,0,2.71667,11.4833
2209.5,0,0.095,0,1.95333,9.69
2210.5,0.411667,0.136667,0,1.09833,7.62167
2211.5,1.17167,0.268333,0,1.03,6.40833
2212.5,0.28,0.15,0,1.06667,5.41333
2213.5,0.861667,0.2,0,0.516667,3.09
2214.5,2.155,0.175,0,0.488333,1.63833
2215.5,3.11333,0.176667,0,0.65,1.65
2216.5,2.62833,0.196667,0,0.93,-0.258333
2217.5,3.51,0.191667,0,0.491667,0.0666667
2218.5,3.47167,1.66333,0.683333,0.3,-0.92
2219.5,391.173,31.1183,70.0783,0.293333,-0.00666668
2220.5,783.705,54.49,268.34,1.15833,2.33333
2221.5,908.055,67.4183,485.05,0.961667,6.725
2222.5,954.398,75.855,669.358,1.045,8.84167
2223.5,965.913,89.11,791.782,1.65,10.435
2224.5,961.595,103.21,851.17,2.82667,12.3
2225.5,954.423,114.775,899.57,3.38333,14.6933
2226.5,545.923,280.832,692.535,3.02333,17.07
2227.5,432.51,288.508,591.697,3.90333,18.2017
2228.5,259.7,281.115,426.158,3.08,18.8167
2229.5,423.968,145.198,299.328,2.895,19.0833
2230.5,245.842,69.0333,119.587,2.625,18.775
2231.5,39.2683,17.5217,16.705,0.718333,16.235
2232.5,0,0.0183333,0,0.401667,12.7133
2233.5,0.156667,0.0666667,0,0.741667,11.5183
2234.5,0.998333,0.0366667,0,1.24833,9.84833
2235.5,2.015,0.12,0,0.83,11.14
2236.5,0.488333,0.105,0,1.375,11.2317
2237.5,1.14167,0.0783333,0,1.44167,10.895
2238.5,1.24,0.00666667,0,1.48,13.175
2239.5,0.435,0.035,0,1.89,13.55
2240.5,0.71,0.095,0,2.24167,13.2067
2241.5,0.0233333,0.145,0,2.21667,12.3333
2242.5,0.0383333,2.045,0.89,1.37167,11.3983
2243.5,342.23,37.23,71.645,2.43833,10.91
2244.5,704.347,65.1117,261.74,3.15,10.9867
2245.5,875.868,74.665,483.343,3.73833,11.6
2246.5,950.327,84.19,678.312,4.22333,12.8133
2247.5,995.835,96.025,823.217,5.14667,14.3133
2248.5,1017.93,83.3367,910.652,5.39333,16.23
2249.5,1023.69,79.8,926.08,5.43333,17.5683
2250.5,1014.96,78.09,877.528,6.92833,18.65
2251.5,989.345,73.335,764.225,7.28167,19.005
2252.5,947.223,68.1517,600.402,8.16333,18.6217
2253.5,829.77,64.0467,385.812,6.83833,17.765
2254.5,671.147,43.46,170.538,5.37833,16.89
2255.5,190.442,13.6617,17.9783,5.39167,14.7333
2256.5,0,0.248333,0,4.18333,12.33
2257.5,0,0.136667,0,3.10333,10.9467
2258.5,0,0.176667,0,3.34,9.78167
2259.5,0,0.155,0,2.35,8.59
2260.5,0,0.148333,0,2.54667,7.66167
2261.5,0,0.25,0,1.34667,6.07333
2262.5,0.388333,0.165,0,0.628333,3.87333
2263.5,1.025,0.17,0,0.553333,2.03667
2264.5,2.69,0.125,0,0.44,0.94
2265.5,2.88667,0.161667,0,0.338333,0.296667
2266.5,3.53333,3.07,1.885,0.303333,-0.508333
2267.5,393.838,32.9583,73.42,0.373333,0.371667
2268.5,755.927,60.5717,274.335,0.61,4.07333
2269.5,888.832,71.91,491.753,1.55667,5.84667
2270.5,941.618,77.9883,673.927,3.415,7.37333
2271.5,971.168,83.41,812.035,3.76833,8.46667
2272.5,978.652,95.59,895.89,2.41167,9.74333
2273.5,1002.91,94.0083,927.113,2.97333,10.8233
2274.5,947.043,112.603,862.068,2.57167,12.0783
2275.5,856.14,110.578,712.738,3.12667,12.4983
2276.5,803.695,99.5583,552.507,3.14667,13.0733
2277.5,770.655,77.0033,379.633,2.95167,13.5017
2278.5,553.67,49.21,159.78,2.69167,13.21
2279.5,174.27,14.2317,18.8683,2.245,12.025
2280.5,0.725,0.32,0,3.125,9.59333
